StrategicIssues,project_name,PriorityOrder,Sub-activities,Strategy,ProjectIndicators,ImplementingAgency,AlignmentwithThailandVision,Budget
ประเด็นยุทธศาสตร์ที่ 1 : ส่งเสริมการจัดการสิ่งแวดล้อมแบบมีส่วนร่วมเพื่อให้ปทุมธานีเป็นเมืองสิ่งแวดล้อมสะอาด,การพัฒนาบุคลากรเพื่อเพิ่มขีดความสามารถบริหารจัดการขยะในสถานประกอบการ,90.0,อบรมให้ความรู้ด้านการบริหารจัดการขยะและของเสียแก่บุคลากรใน สปก.,กลยุทธ์ที่ 3 ส่งเสริมการจัดการขยะอย่างเป็นระบบและมีประสิทธิภาพ,บุคลากรเข้าร่วมอบรมอย่างน้อย 800 คน,สำนักงานแรงงานจังหวัดปทุมธานี,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,706400.0
ประเด็นยุทธศาสตร์ที่ 1 : ส่งเสริมการจัดการสิ่งแวดล้อมแบบมีส่วนร่วมเพื่อให้ปทุมธานีเป็นเมืองสิ่งแวดล้อมสะอาด,การส่งเสริมการจัดการขยะในครัวเรือนส่วนราชการสถานศึกษา,7.0,"1) จัดทําขอบเขตงาน
2) กําหนดหลักเกณฑ์คุณสมบัติของชุมชนส่วนราชการ สถานศึกษา
3) จัดเวทีแลกเปลี่ยนความรู้ประสบการณ์คัดเลือกเป้าหมาย และแกนนํา ที่จะดําเนินการตามหลักเกณฑ์
4) สนับสนุนวัสดุ/อุปกรณ์ในการดําเนินโครงการให้กับเป้าหมายที่ได้รับการคัดเลือก",กลยุทธ์ที่ 3 ส่งเสริมการจัดการขยะอย่างเป็นระบบและมีประสิทธิภาพ,ชุมชน ส่วนราชการสถานศึกษาศาสนสถาน มีส่วนร่วมในการจัดการขยะต้นทางเพิ่มขึ้น เขตองค์กรปกครองส่วนท้องถิ่นละ 1 แห่ง,สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดปทุมธานี,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,4323500.0
ประเด็นยุทธศาสตร์ที่ 1 : ส่งเสริมการจัดการสิ่งแวดล้อมแบบมีส่วนร่วมเพื่อให้ปทุมธานีเป็นเมืองสิ่งแวดล้อมสะอาด,ศูนย์การเรียนรู้การจัดการขยะและการผลิตขยะเชื้อเพลิง (RDF),35.0,"1) สํารวจสภาพพื้นที่และปริมาณขยะขององค์กรปกครองส่วนท้องถิ่นแต่ละพื้นที่
2) เลือกพื้นที่เป้าหมายที่มีความพร้อมทางด้านที่ดินและปริมาณขยะที่เหมาะสม
3) ดําเนินการก่อสร้างอาคารจํานวน 1 หลังเพื่อติดตั้งเครื่องจักร
4) ติดตั้งเครื่องจักรเทคโนโลยี RDF ที่อยู่ในบัญชีนวัตกรรมพรอมระบบไฟฟ้าและหม้อแปลงและทดสอบเดินเครื่องทดสอบระบบ
5) จัดอบรมให้กับเจ้าหน้าที่ อปท. เรื่องเทคโนโลยี RDF และการจัดการขยะ
6) จัดตั้งศูนย์การเรียนรู้การผลิตเชื้อเพลิงจากขยะ RDF",กลยุทธ์ที่ 3 ส่งเสริมการจัดการขยะอย่างเป็นระบบและมีประสิทธิภาพ,"1) มีศูนย์การเรียนรู้การจัดการขยะและการสร้างมูลค่าให้กับขยะโดยเทคโนโลยีนวตกรรมการผลิตเชื้อเพลิง RDF
2) จํานวนขยะแต่ละพื้นที่อปท. ลดลง โดยการคัดแยกและการนําไปสร้างมูลค่าเพิ่มเป็นขยะเชื้อเพลิง RDF
3) มีการต่อยอดโครงการก่อสร้างโรงไฟฟ้าพลังงานขยะโดยใช้เชื้อเพลิง RDF เป็นเชื้อเพลิงได้ในอนาคต",สำนักงานพัฒนาพลังงานจังหวัดปทุมธานี,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,18000000.0
ประเด็นยุทธศาสตร์ที่ 1 : ส่งเสริมการจัดการสิ่งแวดล้อมแบบมีส่วนร่วมเพื่อให้ปทุมธานีเป็นเมืองสิ่งแวดล้อมสะอาด,ลดต้นทุนด้านพลังงานในสถานประกอบการ SMEs ในจังหวัดปทุมธานี,46.0,"1) จัดอบรมสัมมนาผู้ประกอบการเอสเอ็มอีในจังหวัดปทุมธานีจํานวน 100 คน
2) สมัครคัดเลือกผู้ประกอบการ SMEs ที่เข้าร่วมประชุมจํานวน 100 คนเพื่อประเมินความพร้อมในการทํางาน
3) คัดเลือกผู้ประกอบการตามเงื่อนไขและมีความพร้อมจํานวน 30 รายพร้อมตั้งคณะทํางานอนุรักษ์พลังงาน
4) ฝึกอบรมและตรวจวัดการใช้พลังงานเพื่อกําหนดมาตรการประหยัดพลังงานและเพิ่มประสิทธิภาพพลังงาน
5) ผลักดันมาตรการประหยัดพลังงานแบบมีส่วนร่วมและสนับสนุนอุปกรณ์ต้นแบบการเพิ่มประสิทธิภาพพลังงาน
6) ติดตามประเมินผลก่อน และหลังการดําเนินงาน",กลยุทธ์ที่ 3 ส่งเสริมการจัดการขยะอย่างเป็นระบบและมีประสิทธิภาพ,ผู้ประกอบการสามารถลดการใช้พลังงานได้ร้อยละ 10,สำนักงานพลังงานจังหวัดปทุมธานี,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,7094400.0
ประเด็นยุทธศาสตร์ที่ 1 : ส่งเสริมการจัดการสิ่งแวดล้อมแบบมีส่วนร่วมเพื่อให้ปทุมธานีเป็นเมืองสิ่งแวดล้อมสะอาด,จัดซื้อตู้บรรทุกขยะมูลฝอยสถานีขนถ่ายขยะมูลฝอยตะวันออกซอยรังสิต นครนายก 17 จํานวน 10 ตู้,86.0,จัดซื้อตู้บรรทุกขยะมูลฝอยจํานวน 10 ตู้,กลยุทธ์ที่ 3 ส่งเสริมการจัดการขยะอย่างเป็นระบบและมีประสิทธิภาพ,"1. มีสภาพแวดล้อมที่ดีขึ้น
2.ประชากรมีสุขภาพและพลานามัยที่ดีขึ้น
3.บ้านเมือง มีความเป็นระเบียบเรียบร้อยสวยงาม",สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดปทุมธานี,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,10000000.0
ประเด็นยุทธศาสตร์ที่ 1 : ส่งเสริมการจัดการสิ่งแวดล้อมแบบมีส่วนร่วมเพื่อให้ปทุมธานีเป็นเมืองสิ่งแวดล้อมสะอาด,ส่งเสริมการจัดการน้ำเสียในชุมชน,1.0,"1) ศึกษาคุณภาพน้ำจากแหล่งชุมชนอุตสาหกรรม และเกษตรกรรม
2) นําผลการศึกษามาร่วมกันกําหนดมาตรการป้องกันแก้ไข
3) กําหนดหลักเกณฑ์และคัดเลือกพื้นที่ชุมชนที่จะดําเนินการ
4) ประชุม/อบรมจัดตั้งกลุ่มเครือข่ายภาคประชาชนเพื่อดําเนินกิจกรรม
5) สนับสนุนวัสดุอุปกรณ์และติดตั้งที่ดักไขมันแก่ชุมชนที่ผ่านคัดเลือก",กลยุทธ์ที่ 1 สร้างระบบและกลไกในการควบคุมเผ้าระวังคุณภาพสิ่งแวดล้อมแบบมีส่วนร่วมตั้งแต่ระดับชุมชน,"1) มีผลการตรวจวัดคุณภาพน้ำจากแหล่งกําเนิดปะเภทชุมชน อุตสาหกรรม และเกษตรกรรม ครบถ้วนสมบูรณ์
2) มีชุมชนต้นแบบในการจัดการน้ำเสียโดยชุมชนในจังหวัดปทุมธานีเพิ่มขึ้นอย่างน้อย 7 ชุมชน",สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดปทุมธานี,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,7397000.0
ประเด็นยุทธศาสตร์ที่ 1 : ส่งเสริมการจัดการสิ่งแวดล้อมแบบมีส่วนร่วมเพื่อให้ปทุมธานีเป็นเมืองสิ่งแวดล้อมสะอาด,เก็บรวบรวมผักตบชวาเพื่อสร้างมูลค่าเพิ่มโดยการมีส่วนร่วม,8.0,"1) จัดหาครุภัณฑ์เรือกําจัดผักตบชวาและวัชพืช
2) ดําเนินการกําจัดผักตบชวาและวัชพืชในแหล่งน้ำสาธารณะ
3) สรุปการดําเนินโครงการ",กลยุทธ์ที่ 1 สร้างระบบและกลไกในการควบคุมเผ้าระวังคุณภาพสิ่งแวดล้อมแบบมีส่วนร่วมตั้งแต่ระดับชุมชน,จํานวนผักตบชวาที่ถูกกําจัด,สำนักงานป้องกันและบรรเทาสาธารณภัยจังหวัดปทุมธานี,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,20000000.0
ประเด็นยุทธศาสตร์ที่ 1 : ส่งเสริมการจัดการสิ่งแวดล้อมแบบมีส่วนร่วมเพื่อให้ปทุมธานีเป็นเมืองสิ่งแวดล้อมสะอาด,ฟื้นฟูระบบนิเวศน์แหล่งน้ำและทรัพยากรสัตว์น้ำในแม่น้ำเจ้าพระยาและคลองเชื่อมโยง,13.0,"1) ประสานกลุ่มอนุรักษ์ทรัพยากรสัตว์น้ำผู้นําท้องถิ่น เจ้าพนักงานปกครองท้องที่คณะทํางานเสริมสร้างความมั่นคงอาหารประมงด้านอาหารสัตว์น้ำจืดชุมชน
2) จัดซื้อลูกพันธุ์กุ้งก้ามกราม เพื่อปล่อยในแหล่งน้ำเขตพื้นที่ ทั้ง 7 อําเภอในจังหวัดปทุมธานี ตามระเบียบสํานักนายกรัฐมนตรีว่าด้วยการพัสดุ พ.ศ.2525 และที่แก้ไขเพิ่มเติม
3)จัดจ้างทําป้ายประชาสัมพันธ์การปล่อยกุ้งร่วมกัน ปล่อยพันธุ์กุ้งก้ามกราม เผ้าระวังป้องปราม ประสานเจ้าหน้าที่ ในการควบคุมดูแลไม่ให้มีการใช้เครื่องมือที่ผิดกฎหมายมาทําการประมง
4) เผ้าระวัง ป้องปราม แจ้งประสานเจ้าหน้าที่ในการควบคุมดูแล ไม่ให้มีการใช้เครื่องมือที่ผิดกฎหมายทําการประมง
5) การบริหารโครงการ : ประสานอํานวยการ ติดตาม ให้คําแนะนํา แก้ไขปัญหา อุปสรรค ที่อาจจะเกิดขึ้นและประเมินผลโครงการ",กลยุทธ์ที่ 1 สร้างระบบและกลไกในการควบคุมเผ้าระวังคุณภาพสิ่งแวดล้อมแบบมีส่วนร่วมตั้งแต่ระดับชุมชน,"1. มีปริมาณกุ้งก้ามกรามในแหล่งน้ำธรรมชาติเพิ่มขึ้น100,000 กิโลกรัม
2. มีผลผลิตกุ้งก้ามกรามที่ปลอดภัยต่อผู้บริโภค ได้ขนาดตามความต้องการของตลาดเพิ่มขึ้น100,000 กิโลกรัม",สำนักงานประมงจังหวัดปทุมธานี,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,10125560.0
ประเด็นยุทธศาสตร์ที่ 1 : ส่งเสริมการจัดการสิ่งแวดล้อมแบบมีส่วนร่วมเพื่อให้ปทุมธานีเป็นเมืองสิ่งแวดล้อมสะอาด,ศึกษาวิจัยบําบัดน้ำเสียและการจัดการกลิ่น,87.0,จ้างที่ปรึกษาทําการศึกษาวิจัยบําบัดน้ำเสียและการจัดการกลิ่น,กลยุทธ์ที่ 1 สร้างระบบและกลไกในการควบคุมเผ้าระวังคุณภาพสิ่งแวดล้อมแบบมีส่วนร่วมตั้งแต่ระดับชุมชน,,สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดปทุมธานี,,3000000.0
ประเด็นยุทธศาสตร์ที่ 1 : ส่งเสริมการจัดการสิ่งแวดล้อมแบบมีส่วนร่วมเพื่อให้ปทุมธานีเป็นเมืองสิ่งแวดล้อมสะอาด,สร้างสระน้ำ บริเวณวัดเนกขัมมาราม,73.0,โดยวิธีดําเนินการการจ้างเหมาปีงบประมาณ2561,กลยุทธ์ที่ 1 สร้างระบบและกลไกในการควบคุมเผ้าระวังคุณภาพสิ่งแวดล้อมแบบมีส่วนร่วมตั้งแต่ระดับชุมชน,ระดับความสําเร็จของการขยาย/ปรับปรุง/เชื่อมโยงเส้นทางคมนาคม และปริมาณนักท่องเที่ยวมูลค่าสินค้าและบริการการค้าเพิ่มขึ้น,อําเภอลาดหลุมแก้ว,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,1233000.0
ประเด็นยุทธศาสตร์ที่ 1 : ส่งเสริมการจัดการสิ่งแวดล้อมแบบมีส่วนร่วมเพื่อให้ปทุมธานีเป็นเมืองสิ่งแวดล้อมสะอาด,จัดหาเครื่องกังหันน้ำเติมอากาศ เพื่อบําบัดน้ำเสียในตําบลคลองสาม,55.0,"1) ลงพื้นที่ศึกษาข้อมูล
2) ประชาสัมพันธ์และลงพื้นที่ ทําความเข้าใจ
3) ทําการติดตั้งเครื่องกลเติมอากาศพลังงานแสงอาทิตย์
4) ติดตาม ประเมินผลหลังเสร็จสินโครงการ",กลยุทธ์ที่ 1 สร้างระบบและกลไกในการควบคุมเผ้าระวังคุณภาพสิ่งแวดล้อมแบบมีส่วนร่วมตั้งแต่ระดับชุมชน,"1) การบําบัดน้ำเสียในพื้นที่มีปริมาณเพิ่มขึ้น
2) น้ำเสียมีปริมาณลดลง",อําเภอคลองหลวง,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,1008000.0
ประเด็นยุทธศาสตร์ที่ 1 : ส่งเสริมการจัดการสิ่งแวดล้อมแบบมีส่วนร่วมเพื่อให้ปทุมธานีเป็นเมืองสิ่งแวดล้อมสะอาด,ก่อสร้างติดตั้งเครื่องบําบัดน้ำเสียพลังงานแสงอาทิตย์,56.0,ก่อสร้าง ติดตั้งเครื่องบําบัดน้ำเสีย พลังงานแสงอาทิตย์,กลยุทธ์ที่ 2 ส่งเสริมอุตสาหกรรมสะอาด,สามารถจัดการน้ำเสียให้มีสภาพเป็นน้ำดี สามารถนํามาใช้ใหม่ได้อากาศบริสุทธ์ ปราศจากกลิ่นรบกวน,อําเภอลําลูกกา,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,5000000.0
ประเด็นยุทธศาสตร์ที่ 1 : ส่งเสริมการจัดการสิ่งแวดล้อมแบบมีส่วนร่วมเพื่อให้ปทุมธานีเป็นเมืองสิ่งแวดล้อมสะอาด,ส่งเสริมอุตสาหกรรมสีเขียว (Green Industry),15.0,"1) ขออนุมัติโครงการ
2) ประชาสัมพันธ์และจัดสัมมนาเปิดตัวโครงการและให้ความรู้แก่ผู้ประกอบการ
3) จัดจ้างเหมาบริการให้บริการคําปรึกษาแนะนําแก่สถานประกอบการ
4) ให้บริการคําปรึกษาแนะนําแก่สถานประกอบการ
5) จัดสัมมนาปิดโครงการ และการถ่ายทอดความรู้ที่ได้รับคําปรึกษาแนะนําเชิงลึกจากการเข้าร่วมโครงการของสถานประกอบการ
6)เบิกจ่ายตามแผนงานโครงการ
7) สรุปและรายงานผลการดําเนินงานโครงการ",กลยุทธ์ที่ 2 ส่งเสริมอุตสาหกรรมสะอาด,"1) จํานวนสถานประกอบการได้รับการถ่ายทอดความรู้ ไม่น้อยกว่า 100 ราย/ปี
2) จํานวนสถานประกอบการโรงงานที่ได้รับคําปรึกษาแนะนํา มีการพัฒนาปรับปรุงกระบวนการผลิต/ผลิตภัณฑ์ ตามเนวทางอุตสาหกรรมสีเขียว/เทคโนโลยีสะอาด (Clean Technology) อุตสาหกรรมเชิงนิเวศ/ธรรมาภิบาลสิ่งแวดล้อมไม่น้อยกว่า 50 ราย/ปี",สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,4250000.0
ประเด็นยุทธศาสตร์ที่ 1 : ส่งเสริมการจัดการสิ่งแวดล้อมแบบมีส่วนร่วมเพื่อให้ปทุมธานีเป็นเมืองสิ่งแวดล้อมสะอาด,โครงการรณรงค์คัดแยกขยะ,,ประชาสัมพันธ์คนในพื้นที่ให้มีการขัดแยกขยะตั้งแต่ต้นทาง,กลยุทธ์ที่ 3 ส่งเสริมการจัดการขยะอย่างเป็นระบบและมีประสิทธิภาพ,1) ปริมาณการคัดแยกขยะตั้งแต่ต้นทางเพิ่มมากขึ้น2) จํานวนครัวเรือนที่เข้าร่วมโครงการรณรงค์คัดแยกขยะ,องค์การบริหารส่วนตำบลบึงชำอ้อ,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,50000.0
ประเด็นยุทธศาสตร์ที่ 1 : ส่งเสริมการจัดการสิ่งแวดล้อมแบบมีส่วนร่วมเพื่อให้ปทุมธานีเป็นเมืองสิ่งแวดล้อมสะอาด,คลองสวยน้ำใส,,ดําเนินการแก้ไขปัญหาน้ำเน่าเสีย,กลยุทธ์ที่ 1 สร้างระบบและกลไกในการควบคุมเผ้าระวังคุณภาพสิ่งแวดล้อมแบบมีส่วนร่วมตั้งแต่ระดับชุมชน,แก้ปัญหาน้ำในคลองเน่าเสียได้,องค์การบริหารส่วนตำบลบึงบอน,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,30000.0
ประเด็นยุทธศาสตร์ที่ 1 : ส่งเสริมการจัดการสิ่งแวดล้อมแบบมีส่วนร่วมเพื่อให้ปทุมธานีเป็นเมืองสิ่งแวดล้อมสะอาด,น้ำใสไร้มลพิษ,,ดําเนินการจัดการปัญหาตามแนวลําคลองสาธารณะในเขตตําบลหลักหก,กลยุทธ์ที่ 1 สร้างระบบและกลไกในการควบคุมเผ้าระวังคุณภาพสิ่งแวดล้อมแบบมีส่วนร่วมตั้งแต่ระดับชุมชน,สามารถแก้ปัญหาน้ำเน่าเสียในคูคลอง เขตเทศบาลตําบลหลักหก,เทศบาลตำบลหลักหก,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,20000.0
ประเด็นยุทธศาสตร์ที่ 2 : เสริมสร้างความเข้มแข็งกระบวนการผลิตและการแปรรูปสินค้าเกษตรและอาหารให้มีความปลอดภัยอย่างครบวงจร,พัฒนาระบบผลิตพืชแบบครบวงจร,16.0,"1. พัฒนาระบบการผลิตกล้วยน้ำว้าแบบครบวงจร ตามหลักปรัชญา ศก.พอเพียง
1.1 พัฒนาองค์ความรู้และส่งเสริมการผลิต
1.2 ส่งเสริมการรวมกลุ่ม (วัสดุแปรรูป)
1.3 ส่งเสริมการตลาด (สร้างโรงอบพลังงานแสงอาทิตย์โรงงานแปรรูปหลังคาเมทัลชีท)
2. ส่งเสริมการปลูกไม้ผลแบบปลอดภัยและเป็นมิตรต่อสิ่งแวดล้อม
2.1 พัฒนาองค์ความรู้และส่งเสริมการผลิตระบบ GAP เกษตรกรผู้ปลูกไม้ผล",กลยุทธ์ที่ 1 ส่งเสริมบริโภคปลอดภัย,ร้อยละของจํานวนแปลงฟาร์มที่ผ่านการประเมินความพร้อมเบื้องต้นของจํานวนแปลงฟาร์มที่สมัคร(PGAP) ร้อยละ 100,สำนักงานเกษตรจังหวัดปทุมธานี,ด้านการสร้างความสามารถในการแข่งขัน,7800000.0
ประเด็นยุทธศาสตร์ที่ 2 : เสริมสร้างความเข้มแข็งกระบวนการผลิตและการแปรรูปสินค้าเกษตรและอาหารให้มีความปลอดภัยอย่างครบวงจร,พัฒนามาตรฐานการผลิตสัตว์น้ำ,54.0,"1.อบรมหลักสูตร การจัดการฟาร์มเพาะเลี้ยงสัตว์น้ำ หัวข้อมาตรฐานการปฏิบัติทางการประมงที่ดีสําหรับฟาร์มเพาะเลี้ยงสัตว์น้ำ ระบบการรับรองมาตรฐานคุณภาพการผลิตสัตว์น้ำ การพัฒนาฟาร์มเพาะเลี้ยงสัตว์น้ำเข้าสู่มาตรฐานและการใช้เชื้อจุลินทรีย์/น้ำหมักชีวภาพในระบบการผลิตสินค้าสัตว์น้ำ จํานวน 5 ครั้ง 200 คน 
2.สนับสนุนปัจจัยการผลิตบางส่วนให้แก่เกษตรกรผู้เข้าร่วมโครงการ (พันธุ์สัตว์น้ำอาหารสัตว์น้ำ จุลินทรีย์น้ำ) 200 ราย
3. ส่งเสริมและพัฒนาด้านการผลิตสินค้าสัตว์น้ำปลอดภัยโดยการใช้เชื้อจุลินทรีย์/น้ำหมักชีวภาพในระบบการเพาะเลี้ยงเพื่อการผลิตสินค้าสัตว์น้ำ
4. ตรวจสอบและรับรองคุณภาพสินค้าประมง (ตรวจประเมินฟาร์มและตรวจวิเคราะห์ตัวอย่างเนื้อปลา ) - ตรวจประเมินฟาร์ม จํานวน 200 ฟาร์มและต้องได้รับใบรับรองมาตรฐานฟาร์มระดับมาตรฐานความปลอดภัยในระดับ GAP ไม่น้อยกว่าร้อยละ 15
5. การบริหารโครงการ : ประสานอํานวยการ ติดตามให้คําแนะนํา แก้ไขปัญหา อุปสรรค ที่อาจจะเกิดขึ้น และประเมินผลโครงการ",กลยุทธ์ที่ 1 ส่งเสริมบริโภคปลอดภัย,"1) ร้อยละเกษตรกรที่เข้าร่วมโครงการ ผ่านการเตรียมความพร้อมเข้าสู่มาตรฐานฟาร์มระดับมาตรฐานความปลอดภัยในระดับ GAP ได้ไม่น้อยกว่าร้อยละ 15 (ปีฐาน 59จํานวน 156 ราย)
2) ร้อยละเกษตรกรที่เข้าร่วมโครงการส่วนที่เหลือผ่านเกณฑ์มาตรฐานการเตรียมความพร้อมเพื่อพัฒนาเข้าสู่ระดับ GAP ได้ไม่น้อยร้อยละ 90 (ปีฐาน59 จํานวน 248 ราย)",สำนักงานประมงจังหวัดปทุมธานี,ด้านการสร้างความสามารถในการแข่งขัน,5500000.0
ประเด็นยุทธศาสตร์ที่ 2 : เสริมสร้างความเข้มแข็งกระบวนการผลิตและการแปรรูปสินค้าเกษตรและอาหารให้มีความปลอดภัยอย่างครบวงจร,การผลิตข้าวโภชนาการสูงแบบครบวงจรเพื่อเพิ่มมูลค่า,2.0,"1) ศึกษาและรวมรวมข้อมูลพันธุ์ข้าวสี(โภชนาการสูง) ได้แก่ ลักษณะประจําพันธุ์การใช้ปุ๋ย การควบคุมโรคและแมลง และข้อมูลค่าโภชนาการ ที่จะนํามาปลูกทั้ง 3 พันธุ์ คือพันธุ์ทับทิมชุมแพ หอมมะลิดําหนองคาย และข้าวไรซ์เบอร์รี่
2) ปลูกศึกษา จํานวน 3 พันธุ์ได้แก่ พันธุ์ทับทิมชุมแพ หอมมะลิดําหนองคาย และข้าวไรซ์เบอร์รี่ โดยปลูกพันธุ์ละ 5 ไร่บันทึกข้อมูล การเจริญเติบโตผลผลิต และคุณค่าทางโภชนาการ
3) ผลิตเมล็ดพันธุ์ข้าวสี (โภชนาการสูง) คุณภาพดี เพื่อกระจายให้กลุ่มที่เข้าร่วมโครงการ พันธุ์ละ 3 ตัน",กลยุทธ์ที่ 1 ส่งเสริมบริโภคปลอดภัย,"1) ชาวนาสามารถผลิตข้าวสี (โภชนาการสูง) ได้คุณภาพ ผ่านมาตรฐานGAP
2) ได้กลุ่มผู้ผลิตข้าวสี(โภชนาการสูง) จํานวน 2กลุ่ม",สำนักงานเกษตรและสหกรณ์จังหวัดปทุมธานี/ศูนย์วิจัยข้าว,ด้านการสร้างความสามารถในการแข่งขัน,4040000.0
ประเด็นยุทธศาสตร์ที่ 2 : เสริมสร้างความเข้มแข็งกระบวนการผลิตและการแปรรูปสินค้าเกษตรและอาหารให้มีความปลอดภัยอย่างครบวงจร,การเพิ่มประสิทธิภาพการปรับปรุงเมล็ดพันธุ์ข้าว,36.0,"1. สํารวจเกษตรกร สมาชิกสหกรณ์ที่ผลิตเมล็ดพันธุ์
2. ประสานงาน หน่วยงานที่เกี่ยวข้องให้ความรู้ในการดําเนินงาน
3. ดําเนินการจัดหาเครื่องคัดแยกเมล็ดพันธุ์ เครื่องอบ อุปกรณ์คัดสิ่งเจือปน โกดัง/โรงคลุม พร้อมอุปกรณ์ในการก่อตั้ง
4.ประสานหน่วยงานที่เกี่ยวข้องในการรับรองมาตรฐานเมล็ดพันธุ์
5. ส่งเสริมและพัฒนาการสร้างเครือข่ายเชื่อมโยงการผลิต/การตลาด
6. ติดตามการดําเนินงานและสรุปผลโครงการ",กลยุทธ์ที่ 1 ส่งเสริมบริโภคปลอดภัย,"1.ร้อยละของต้นทุนการผลิตของเกษตรกรที่เข้าร่วมโครงการลดลงไม่น้อยกว่าร้อยละ 10
2. จํานวนยอดขายเมล็ดพันธุ์ที่ผ่านและได้รับการรับรองมาตรฐานเพิ่มขึ้นไม่น้อยกว่าร้อยละ 10 ของยอดขายเดิม",สำนักงานสหกรณ์จังหวัดปทุมธานี,ด้านการสร้างความสามารถในการแข่งขัน,10000000.0
ประเด็นยุทธศาสตร์ที่ 2 : เสริมสร้างความเข้มแข็งกระบวนการผลิตและการแปรรูปสินค้าเกษตรและอาหารให้มีความปลอดภัยอย่างครบวงจร,ส่งเสริมการผลิตสินค้าเกษตรแบบฟาร์มอัจฉริยะ,10.0,"1. การพัฒนาฐานข้อมูลเชิงพื้นที่และข้อมูลเปิดเพื่อสนับสนุนการเพาะปลูกกล้วยหอมทองในประเทศไทย
2. การพัฒนาระบบเก็บและวิเคราะห์ผลข้อมูลสภาวะแวดล้อมเพื่อการเกษตรขนาดใหญ่
3. การพัฒนาระบบเก็บและวิเคราะห์ผลข้อมูลสภาวะแวดล้อมเพื่อการเกษตรขนาดใหญ่
4. ระบบสารสนเทศภูมิศาสตร์และโปรแกรมบนโทรศัพท์สมาร์ทโฟนเพื่อสนับสนุนการเกษตรอัจฉริยะ",กลยุทธ์ที่ 1 ส่งเสริมบริโภคปลอดภัย,ร้อยละของจํานวนแปลงฟาร์มที่ผ่านการประเมินความพร้อมเบื้องต้นของจํานวนแปลงฟาร์มที่สมัคร(PGAP) ร้อยละ 100,สำนักงานเกษตรและสหกรณ์จังหวัดปทุมธานี/ม.ธรรมศาสตร์ศูนย์รังสิต,ด้านการสร้างความสามารถในการแข่งขัน,9200000.0
ประเด็นยุทธศาสตร์ที่ 2 : เสริมสร้างความเข้มแข็งกระบวนการผลิตและการแปรรูปสินค้าเกษตรและอาหารให้มีความปลอดภัยอย่างครบวงจร,การแก้ภัยแล้งของเกษตรกรโดยใช้เทคโนโลยีพลังงานทดแทน(ระบบสูบน้ำพลังงานแสงอาทิตย์),45.0,"1. ประชาสัมพันธ์เชิญชวน กลุ่มเป้าหมายได้แก่ ผู้นําชุมชนและเกษตรกร เพื่อเข้าร่วมโครงการ
2. จัดอบรมสัมมนาให้ความรู้ อําเภอละ 1 ครั้งๆ ละ 35 ราย
3. มอบเครื่องสูบน้ำพลังงานแสงอาทิตย์พร้อมติดตั้งอุปกรณ์ กับ อปท. ทั้ง 7 พื้นที่
4. ติดตามประเมินผลหลังเสร็จสิ้นโครงการ",กลยุทธ์ที่ 1 ส่งเสริมบริโภคปลอดภัย,ร้อยละการลดลงของพลังงานที่กลุ่มเกษตร อปท.และประชาชนที่เข้าร่วมโครงการใช้พลังงานทดแทนลดค่าใช้จ่ายการใช้น้ำมัน,สำนักงานพัฒนาพลังงานจังหวัดปทุมธานี,ด้านการสร้างความสามารถในการแข่งขัน,9800000.0
