StrategicIssues,project_name,PriorityOrder,Sub-activities,Strategy,ProjectIndicators,ImplementingAgency,AlignmentwithThailandVision,Budget,Unnamed: 9
ประเด็นการพัฒนาที่ 1 : พัฒนาสภาพแวดล้อมเมืองให้น่าอยู่ เอื้อต่อการขยายตัวทางเศรษฐกิจและสังคม,การพัฒนาบุคลากรเพื่อเพิ่มขีดความสามารถบริหารจัดการขยะในสถานประกอบการ,90.0,อบรมให้ความรู้ด้านการบริหารจัดการขยะและของเสียแก่บุคลากรใน สปก.,กลยุทธ์ที่ 3 ส่งเสริมการจัดการขยะอย่างเป็นระบบและมีประสิทธิภาพ,บุคลากรเข้าร่วมอบรมอย่างน้อย 800 คน,สำนักงานแรงงานจังหวัดปทุมธานี,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,706400.0,
ประเด็นการพัฒนาที่ 1 : พัฒนาสภาพแวดล้อมเมืองให้น่าอยู่ เอื้อต่อการขยายตัวทางเศรษฐกิจและสังคม,การส่งเสริมการจัดการขยะในครัวเรือนส่วนราชการสถานศึกษา,7.0,"1) จัดทําขอบเขตงาน
2) กําหนดหลักเกณฑ์คุณสมบัติของชุมชนส่วนราชการ สถานศึกษา
3) จัดเวทีแลกเปลี่ยนความรู้ประสบการณ์คัดเลือกเป้าหมาย และแกนนํา ที่จะดําเนินการตามหลักเกณฑ์
4) สนับสนุนวัสดุ/อุปกรณ์ในการดําเนินโครงการให้กับเป้าหมายที่ได้รับการคัดเลือก",กลยุทธ์ที่ 3 ส่งเสริมการจัดการขยะอย่างเป็นระบบและมีประสิทธิภาพ,ชุมชน ส่วนราชการสถานศึกษาศาสนสถาน มีส่วนร่วมในการจัดการขยะต้นทางเพิ่มขึ้น เขตองค์กรปกครองส่วนท้องถิ่นละ 1 แห่ง,สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดปทุมธานี,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,4323500.0,
ประเด็นการพัฒนาที่ 1 : พัฒนาสภาพแวดล้อมเมืองให้น่าอยู่ เอื้อต่อการขยายตัวทางเศรษฐกิจและสังคม,ศูนย์การเรียนรู้การจัดการขยะและการผลิตขยะเชื้อเพลิง(),35.0,"1) สํารวจสภาพพื้นที่และปริมาณขยะขององค์กรปกครองส่วนท้องถิ่นแต่ละพื้นที่
2) เลือกพื้นที่เป้าหมายที่มีความพร้อมทางด้านที่ดินและปริมาณขยะที่เหมาะสม
3) ดําเนินการก่อสร้างอาคารจํานวน 1 หลังเพื่อติดตั้งเครื่องจักร
4) ติดตั้งเครื่องจักรเทคโนโลยี RDF ที่อยู่ในบัญชีนวัตกรรมพรอมระบบไฟฟ้าและหม้อแปลงและทดสอบเดินเครื่องทดสอบระบบ
5) จัดอบรมให้กับเจ้าหน้าที่ อปท. เรื่องเทคโนโลยี RDF และการจัดการขยะ
6) จัดตั้งศูนย์การเรียนรู้การผลิตเชื้อเพลิงจากขยะ RDF",กลยุทธ์ที่ 3 ส่งเสริมการจัดการขยะอย่างเป็นระบบและมีประสิทธิภาพ,"1) มีศูนย์การเรียนรู้การจัดการขยะและการสร้างมูลค่าให้กับขยะโดยเทคโนโลยีนวตกรรมการผลิตเชื้อเพลิง RDF
2) จํานวนขยะแต่ละพื้นที่อปท. ลดลง โดยการคัดแยกและการนําไปสร้างมูลค่าเพิ่มเป็นขยะเชื้อเพลิง RDF
3) มีการต่อยอดโครงการก่อสร้างโรงไฟฟ้าพลังงานขยะโดยใช้เชื้อเพลิง RDF เป็นเชื้อเพลิงได้ในอนาคต",สำนักงานพัฒนาพลังงานจังหวัดปทุมธานี,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,18000000.0,
ประเด็นการพัฒนาที่ 1 : พัฒนาสภาพแวดล้อมเมืองให้น่าอยู่ เอื้อต่อการขยายตัวทางเศรษฐกิจและสังคม,ลดต้นทุนด้านพลังงานในสถานประกอบการในจังหวัดปทุมธานี,46.0,"1) จัดอบรมสัมมนาผู้ประกอบการเอสเอ็มอีในจังหวัดปทุมธานีจํานวน 100 คน
2) สมัครคัดเลือกผู้ประกอบการ SMEs ที่เข้าร่วมประชุมจํานวน 100 คนเพื่อประเมินความพร้อมในการทํางาน
3) คัดเลือกผู้ประกอบการตามเงื่อนไขและมีความพร้อมจํานวน 30 รายพร้อมตั้งคณะทํางานอนุรักษ์พลังงาน
4) ฝึกอบรมและตรวจวัดการใช้พลังงานเพื่อกําหนดมาตรการประหยัดพลังงานและเพิ่มประสิทธิภาพพลังงาน
5) ผลักดันมาตรการประหยัดพลังงานแบบมีส่วนร่วมและสนับสนุนอุปกรณ์ต้นแบบการเพิ่มประสิทธิภาพพลังงาน
6) ติดตามประเมินผลก่อน และหลังการดําเนินงาน",กลยุทธ์ที่ 3 ส่งเสริมการจัดการขยะอย่างเป็นระบบและมีประสิทธิภาพ,ผู้ประกอบการสามารถลดการใช้พลังงานได้ร้อยละ 10,สำนักงานพลังงานจังหวัดปทุมธานี,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,7094400.0,
ประเด็นการพัฒนาที่ 1 : พัฒนาสภาพแวดล้อมเมืองให้น่าอยู่ เอื้อต่อการขยายตัวทางเศรษฐกิจและสังคม,จัดซื้อตู้บรรทุกขยะมูลฝอยสถานีขนถ่ายขยะมูลฝอยตะวันออกซอยรังสิตนครนายก17จํานวน10ตู้,86.0,จัดซื้อตู้บรรทุกขยะมูลฝอยจํานวน 10 ตู้,กลยุทธ์ที่ 3 ส่งเสริมการจัดการขยะอย่างเป็นระบบและมีประสิทธิภาพ,"1. มีสภาพแวดล้อมที่ดีขึ้น
2.ประชากรมีสุขภาพและพลานามัยที่ดีขึ้น
3.บ้านเมือง มีความเป็นระเบียบเรียบร้อยสวยงาม",สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดปทุมธานี,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,10000000.0,
ประเด็นการพัฒนาที่ 1 : พัฒนาสภาพแวดล้อมเมืองให้น่าอยู่ เอื้อต่อการขยายตัวทางเศรษฐกิจและสังคม,ส่งเสริมการจัดการน้ำเสียในชุมชน,1.0,"1) ศึกษาคุณภาพน้ำจากแหล่งชุมชนอุตสาหกรรม และเกษตรกรรม
2) นําผลการศึกษามาร่วมกันกําหนดมาตรการป้องกันแก้ไข
3) กําหนดหลักเกณฑ์และคัดเลือกพื้นที่ชุมชนที่จะดําเนินการ
4) ประชุม/อบรมจัดตั้งกลุ่มเครือข่ายภาคประชาชนเพื่อดําเนินกิจกรรม
5) สนับสนุนวัสดุอุปกรณ์และติดตั้งที่ดักไขมันแก่ชุมชนที่ผ่านคัดเลือก",กลยุทธ์ที่ 1 สร้างระบบและกลไกในการควบคุมเผ้าระวังคุณภาพสิ่งแวดล้อมแบบมีส่วนร่วมตั้งแต่ระดับชุมชน,"1) มีผลการตรวจวัดคุณภาพน้ำจากแหล่งกําเนิดปะเภทชุมชน อุตสาหกรรม และเกษตรกรรม ครบถ้วนสมบูรณ์
2) มีชุมชนต้นแบบในการจัดการน้ำเสียโดยชุมชนในจังหวัดปทุมธานีเพิ่มขึ้นอย่างน้อย 7 ชุมชน",สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดปทุมธานี,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,7397000.0,
ประเด็นการพัฒนาที่ 1 : พัฒนาสภาพแวดล้อมเมืองให้น่าอยู่ เอื้อต่อการขยายตัวทางเศรษฐกิจและสังคม,เก็บรวบรวมผักตบชวาเพื่อสร้างมูลค่าเพิ่มโดยการมีส่วนร่วม,8.0,"1) จัดหาครุภัณฑ์เรือกําจัดผักตบชวาและวัชพืช
2) ดําเนินการกําจัดผักตบชวาและวัชพืชในแหล่งน้ำสาธารณะ
3) สรุปการดําเนินโครงการ",กลยุทธ์ที่ 1 สร้างระบบและกลไกในการควบคุมเผ้าระวังคุณภาพสิ่งแวดล้อมแบบมีส่วนร่วมตั้งแต่ระดับชุมชน,จํานวนผักตบชวาที่ถูกกําจัด,สำนักงานป้องกันและบรรเทาสาธารณภัยจังหวัดปทุมธานี,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,20000000.0,
ประเด็นการพัฒนาที่ 1 : พัฒนาสภาพแวดล้อมเมืองให้น่าอยู่ เอื้อต่อการขยายตัวทางเศรษฐกิจและสังคม,ฟื้นฟูระบบนิเวศน์แหล่งน้ำและทรัพยากรสัตว์น้ำในแม่น้ำเจ้าพระยาและคลองเชื่อมโยง,13.0,"1) ประสานกลุ่มอนุรักษ์ทรัพยากรสัตว์น้ำผู้นําท้องถิ่น เจ้าพนักงานปกครองท้องที่คณะทํางานเสริมสร้างความมั่นคงอาหารประมงด้านอาหารสัตว์น้ำจืดชุมชน
2) จัดซื้อลูกพันธุ์กุ้งก้ามกราม เพื่อปล่อยในแหล่งน้ำเขตพื้นที่ ทั้ง 7 อําเภอในจังหวัดปทุมธานี ตามระเบียบสํานักนายกรัฐมนตรีว่าด้วยการพัสดุ พ.ศ.2525 และที่แก้ไขเพิ่มเติม
3)จัดจ้างทําป้ายประชาสัมพันธ์การปล่อยกุ้งร่วมกัน ปล่อยพันธุ์กุ้งก้ามกราม เผ้าระวังป้องปราม ประสานเจ้าหน้าที่ ในการควบคุมดูแลไม่ให้มีการใช้เครื่องมือที่ผิดกฎหมายมาทําการประมง
4) เผ้าระวัง ป้องปราม แจ้งประสานเจ้าหน้าที่ในการควบคุมดูแล ไม่ให้มีการใช้เครื่องมือที่ผิดกฎหมายทําการประมง
5) การบริหารโครงการ : ประสานอํานวยการ ติดตาม ให้คําแนะนํา แก้ไขปัญหา อุปสรรค ที่อาจจะเกิดขึ้นและประเมินผลโครงการ",กลยุทธ์ที่ 1 สร้างระบบและกลไกในการควบคุมเผ้าระวังคุณภาพสิ่งแวดล้อมแบบมีส่วนร่วมตั้งแต่ระดับชุมชน,"1. มีปริมาณกุ้งก้ามกรามในแหล่งน้ำธรรมชาติเพิ่มขึ้น100,000 กิโลกรัม
2. มีผลผลิตกุ้งก้ามกรามที่ปลอดภัยต่อผู้บริโภค ได้ขนาดตามความต้องการของตลาดเพิ่มขึ้น100,000 กิโลกรัม",สำนักงานประมงจังหวัดปทุมธานี,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,10125560.0,
ประเด็นการพัฒนาที่ 1 : พัฒนาสภาพแวดล้อมเมืองให้น่าอยู่ เอื้อต่อการขยายตัวทางเศรษฐกิจและสังคม,ศึกษาวิจัยบําบัดน้ำเสียและการจัดการกลิ่น,87.0,จ้างที่ปรึกษาทําการศึกษาวิจัยบําบัดน้ำเสียและการจัดการกลิ่น,กลยุทธ์ที่ 1 สร้างระบบและกลไกในการควบคุมเผ้าระวังคุณภาพสิ่งแวดล้อมแบบมีส่วนร่วมตั้งแต่ระดับชุมชน,,สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดปทุมธานี,,3000000.0,
ประเด็นการพัฒนาที่ 1 : พัฒนาสภาพแวดล้อมเมืองให้น่าอยู่ เอื้อต่อการขยายตัวทางเศรษฐกิจและสังคม,สร้างสระน้ำบริเวณวัดเนกขัมมาราม,73.0,โดยวิธีดําเนินการการจ้างเหมาปีงบประมาณ2561,กลยุทธ์ที่ 1 สร้างระบบและกลไกในการควบคุมเผ้าระวังคุณภาพสิ่งแวดล้อมแบบมีส่วนร่วมตั้งแต่ระดับชุมชน,ระดับความสําเร็จของการขยาย/ปรับปรุง/เชื่อมโยงเส้นทางคมนาคม และปริมาณนักท่องเที่ยวมูลค่าสินค้าและบริการการค้าเพิ่มขึ้น,อําเภอลาดหลุมแก้ว,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,1233000.0,
