,project_name
0,อาคารศูนย์การแพทย์เป็นอาคารคอนกรีตเสริมเหล็กชั้นพื้นที่ใช้สอยประมาณตารางเมตรโครงสร้างต้านแผ่นดินไหวโรงพยาบาลปทุมธานีหลัง
1,ถนนคอนกรีต
2,โรงฝึกกีฬาอเนกประสงค์ชั้นวิทยาเขตกรุงเทพหลัง
3,แก้ไขคันทางทรุดตัว
4,ซ่อมสร้างผิวทางลาดยางพาราแอสฟัลติกคอนกรีต
5,โครงการอาคารพร้อมสระธาราบำบัดมาตรฐานและครุภัณฑ์สำหรับผู้สูงอายุของคณะสหเวชศาสตร์
6,อาคารเรียนและฝึกอบรม
7,แก้ไขคันทางทรุดตัว
8,ถนนคอนกรีต
9,ปรับปรุงอาคารกิจกรรมนักศึกษามหาวิทยาลัยธรรมศาสตร์ศูนย์รังสิตเป็นโรงเรียนสาธิตแห่งมหาวิทยาลัยธรรมศาสตร์อาคารศูนย์รังสิต
10,ถนนคอนกรีต
11,โครงการอาคารที่ทำการและที่พักอาศัยพร้อมส่วนประกอบสภคูคต
12,แก้ไขคันทางทรุดตัว
13,อาคารเรียนแบบพิเศษชั้น
14,ซ่อมสร้างผิวทางพาราแอสฟัลติกคอนกรีต
15,โครงการถนนคอนกรีตเสริมเหล็กเชื่อมต่อระหว่างเทศบาล
16,โครงการอาคารที่ทำการพร้อมส่วนประกอบภจวปทุมธานี
17,แก้ไขคันทางทรุดตัว
18,รวมงานและระบบระบายน้ำปริมาณงานแห่งณโครงการงานสะพานลอยกลับรถโรงพยาบาลเกษมราษฏร์สถานีรถไฟฟ้าบางใหญ่ในทางหลวงหมายเลขตอนคลองมหาสวัสดิ์คลองบางไผ่ที่กม
19,แก้ไขคันทางทรุดตัว
20,ซ่อมสร้างผิวทางคอนกรีตเสริมเหล็ก
21,ซ่อมฟื้นฟูทางหลวงชนบทอันเนื่องมาจากเหตุภัยพิบัติ
22,ซ่อมสร้างผิวทางพาราแอสฟัลติกคอนกรีต
23,ถนนคอนกรีต
24,ผิวจราจรลาดยางพาราแอสฟัลติกคอนกรีต
25,ถนนคอนกรีต
26,ซ่อมสร้างผิวทางคอนกรีตเสริมเหล็ก
27,ซ่อมสร้างผิวทางพาราแอสฟัลติกคอนกรีต
28,อาคารเรียนโรงเรียนนครรังสิตรัตนโกสินทร์
29,อาคารพักแพทย์ชั้นยูนิตพื้นที่ใช้สอยประมาณตารางเมตรสถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนีจังปทุมธานีหลัง
30,จ้างเหมาปรับปรุงอาคารหอพักนักศึกษาเป็นอาคารกิจกรรมนักศึกษามธศูนย์รังสิตรายการ
31,ปรับปรุงอาคารพัชรกิติยาภามธศูนย์รังสิตรายการ
32,โครงการปรับปรุงภูมิทัศน์ในวัดชินวราราม
33,บริหารจัดการและให้บริการรักษาความสะอาด
34,โครงการอาคารที่ว่าการ
35,สะพานคอนกรีตเสริมเหล็กข้ามคลองประปาบริเวณวัดนาวง
36,ถนนผิวจราจรลาดยางพาราแอสฟัลติกคอนกรีต
37,โครงการอาคารเรียนชั้นห้องเรียนโรงเรียนอนุบาลเทศบาลแห่งอาคาร
38,ถนน
39,แก้ไขคันทางทรุดตัวถนน
40,ถนนผิวจราจรลาดยาง
41,แก้ไขคันทางทรุดตัวถนน
42,อาคารปฏิบัติการจัดการธุรกิจตคลองหนึ่งอคลองหลวงปทุมธานี
43,อาคารปฏิบัติการจัดการธุรกิจตคลองหนึ่งอคลองหลวงปทุมธานี
44,เขื่อนป้องกันตลิ่งริมแม่น้ำเจ้าพระยาบริเวณหน้าวัดตำหนักมตสามโคกอสามโคกจปทุมธานี
45,แก้ไขคันทางทรุดตัวถนน
46,โครงการอาคารชุดพักอาศัยข้าราชการสำนักงาน
47,โครการสร้างอาคารชั้นเป็นอาคารสันทนาการและฟื้นฟูผู้สูงอายุบึงยี่โถ
48,เขื่อนป้องกันตลิ่งบริเวณวัดบางเดื่อ
49,ถนน
50,ถนน
51,พื้นที่
52,โครงการอาคารอเนกประสงค์โรงเรียนสามโคกชั้นตามแบบองค์การบริหารส่วน
53,ถนน
54,ถนน
55,โครงการชุมชนท่องเที่ยวนวัตวิถีพัฒนาผลิตภัณฑ์ชุมชนและผลิตภัณฑ์ชุมชนท่องเที่ยวนวัตวิถี
56,ส่วนประกอบอาคารพิพิธภัณฑ์พระรามเก้ารายการ
57,เพิ่มเติมอาคารพิพิธภัณฑ์พระรามเก้างานทาสีกันสนิมสีกันไฟงานระบบกันซึมงานโครงหลังคาเหล็ก
58,อาคารเรียนแบบชั้น
59,โครงการปรับปรุงภูมิทัศน์ในวัดท้ายเกาะใหญ่
60,ทางบริเวณสะพานปริมาณงานแห่งณโครงการงานสะพานลอยกลับรถโรงพยาบาลเกษมราษฏร์สถานีรถไฟฟ้าบางใหญ่ในทางหลวงหมายเลขตอนคลองมหาสวัสดิ์คลองบางไผ่ที่กม
61,ถนน
62,จัดการเรียนการสอนโครงการสองภาษา
63,อาคารชุดรวมพักอาศัยเจ้าหน้าหน่วยชั้นระดับพื้นที่ใช้สอยประมาณตารางเมตรโรงพยาบาลมหาวชิราลงกรณธัญบุรีหลัง
64,ถนน
65,เขื่อนป้องกันตลิ่งริมแม่น้ำเจ้าพระยาพร้อมปรับปรุงภูมิทัศน์บริเวณหน้าวัดชินวรารามระยะมตบางขะแยงอเมืองจปทุมธานี
66,เขื่อนป้องกันตลิ่งริมแม่น้ำเจ้าพระยาพร้อมปรับปรุงภูมิทัศน์บริเวณหน้าวัดเจดีย์ทองมตคลองควายอสามโคกจปทุมธานี
67,ทางบริเวณสะพานปริมาณงานแห่งณโครงการงานสะพานเข้าอาคารผู้โดยสารท่าอากาศยานดอนเมืองในทางหลวงหมายเลขตอนงามวงศ์วานดอนเมืองที่กม
68,โครงการขยายผิวจราจรถนนทางหลวงท้องถิ่น
69,เขื่อนป้องกันตลิ่งริมแม่นำ้เจ้าพระยาบริเวณวัดศาลาแดงเหนือมตเชียงรากน้อยอสามโคกจปทุมธานีความ
70,แก้ไขคันทางทรุดตัวถนน
71,จัดการเรียนการสอนสองภาษา
72,ซ่อมฟื้นฟูทางหลวงชนบทอันเนื่องมาจากเหตุภัยภิบัติ
73,ทำงานเสริมผิวแอสฟัสต์ทางหลวงหมายเลขตอนสนามกีฬาธูปะเตมีย์ต่างระดับคลองหลวงตอนระหว่างกมกมด้านขวาทางปริมาณงานตรม
74,ทำงานปรับระดับผิวทางในทางหลวงหมายเลขตอนปทุมธานีท้ายเกาะระหว่างกมกมด้านซ้ายทางเป็นปริมาณงานตรม
75,เขื่อนป้องกันตลิ่งบริเวณวัดเมตารางศ์
76,อาคารสถานีดับเพลิงย่อยอาคารถาวรระยะ
77,ขนถ่ายขยะและถมดินกลบบ่อขยะบดอัดแน่นบริเวณที่พักขยะมูลฝอยเทศบาลเมืองสนั่นรักษ์มตบึงสนั่นอธัญบุรีจปทุมธานี
78,อาคารศูนย์การศึกษาพัฒนาหลากหลายทางชีวภาพและภูมิปัญญาท้องถิ่นพร้อมครุภัณฑ์ประกอบ
79,อาคารศูนย์การศึกษาพัฒนาหลากหลายทางชีวภาพและภูมิปัญญาท้องถิ่นพร้อมครุภัณฑ์ประกอบ
80,อาคารบ้านพักข้าราชการคอนกรีตเสริมเหล็กชั้นยูนิต
81,โครงการถนนคอนกรีตเสริมเหล็กพร้อมท่อระบายน้ำและบ่อพัก
82,โครงการอาคารศูนย์พัฒนาเด็กเล็กสิริเวชชะพันธ์และศาลาประชาคม
83,ปรับปรุงสระว่ายน้ำวิทยาเขตกรุงเทพแห่ง
84,โครงการถนนคอนกรีตเสริมเหล็กจุดรอยต่อถนน
85,หลังคาโดมพร้อมลานคอนกรีต
86,เอกชนกำจัดขยะมูลฝอยและสิ่งปฏิกูลตั้งแต่วันตุลาคมถึงวันสิงหาคมยกเว้น
87,โครงการถมดินสนามกีฬา
88,โครงการจ้างเหมาขนย้ายขยะรายเทศบาลจัดเก็บจากชุมชนซึ่งกองพักไว้บริเวณโรงคัดแยกขยะ
89,จ้างปรับปรุงคุณภาพอากาศอาคารผู้ป่วยนอกชั้น
90,โครงการถนนคอนกรีตเสริมเหล็กต่อจากโครงการเดิม
91,ปรับปรุงอาคารหอประชุม
92,ปรับปรุงถนนคอนกรีตเสริมเหล็กพร้อมท่อระบายน้ำคอนกรีตเสริมเหล็กบ่อพักน้ำคอนกรีตเสริมเหล็กและผิวจราจรรางวีคอนกรีตเสริมเหล็กบริเวณและชุมชนพระสิทธิ์
93,ถนน
94,อาคารนอนคอนกรีตเสริมเหล็กชั้นพร้อมสิ่งประกอบ
95,ซ่อมสร้างผิวทางแอสฟัลติกคอนกรีตปรับปรุงคุณภาพด้วยยางธรรมชาติ
96,ป้องกันและแก้ปัญหาน้ำท่วมบริเวณสวนเทพปทุม
97,จ้างเหมาโครงการวางท่อระบายน้ำคอนกรีตเสริมเหล็กพร้อมทางเท้าเหนือท่อระบายน้ำถนนจารุศรตคลองหนึ่ง
98,โครงการถนนคอนกรีตเสริมเหล็กพร้อมท่อระบายน้ำและบ่อพักรายจ่ายเพิ่มเติมฉบับ
99,โครงการซ่อมแซมถนนแอสฟัลท์คอนกรีตเลียบคลองระบายน้ำขนาดผิวจราจรหรือตามแบบองค์การบริหารส่วน
100,ถนนคอนกรีตเสริมเหล็กพร้อมวางท่อระบายน้ำคอนกรีตเสริมเหล็กชุมชนกรุงเทพเมืองใหม่
101,ปรับปรุง
102,โครงการพัฒนาแหล่งท่องเที่ยววิถีชุมชนริมน้ำเจ้าพระยาบริเวณวัดศาลเจ้า
103,แก้ไขคันทางทรุดตัวถนน
104,โครงการถนนคอนกรีตเสริมเหล็กหรือปริมาณงานบริเวณถนนเลียบคลองส่งน้ำที่เจ็ดซ้าย
105,โครงการถนนแอสฟัลท์คอนกรีตเลียบคลองส่งน้ำซ้ายหรือตามแบบองค์การบริหารส่วน
106,โครงการถนนแอสฟัลท์คอนกรีตเลียบคลองส่งน้ำซ้ายหรือตามแบบองค์การบริหารส่วน
107,โครงการถนนแอสฟัลท์คอนกรีตเลียบคลองส่งน้ำซ้ายหรือตามแบบองค์การบริหารส่วน
108,จัดงานมหกรรมสินค้าเกษตรและอาหารปลอดภัยภายใต้โครงการรณรงค์ส่งเสริมการบริโภคอาหารปลอดภัยตามแผนปฏิบัติราชการ
109,อาคารชุดพักอาศัยชั้นครอบครัว
110,โครงการถนนคอนกรีตเสริมเหล็กรหัสทางหลวงท้องถิ่นปทถ
111,ถนน
112,เอกชนกำจัดขยะมูลฝอย
113,โครงการถนนคอนกรีตเสริมเหล็ก
114,แก้ไขคันทางทรุดตัวถนน
115,ถนนคอนกรีตเสริมเหล็กพร้อมท่อระบายน้ำและบ่อพัก
116,โครงการถนนแอสฟัลท์คอนกรีตเลียบคลองระบายน้ำที่สี่ฝั่งตะวันตกหรือตามแบบองค์การบริหารส่วน
117,และปรับปรุงสิ่งอำนวยความสะดวกสำหรับรองรับผู้สูงอายุภายในวัด
118,อาคารเรียนสปชปรับปรุงชั้นห้องเรียน
119,โครงการถนน
120,ถนน
121,โครงการถนนคอนกรีตเสริมเหล็กพร้อมท่อระบายน้ำและบ่อพัก
