,project_name
0,พัฒนาระบบผลิตพืชแบบครบวงจร
1,พัฒนามาตรฐานการผลิตสัตว์น้ำ
2,การผลิตข้าวโภชนาการสูงแบบครบวงจรเพื่อเพิ่มมูลค่า
3,การเพิ่มประสิทธิภาพการปรับปรุงเมล็ดพันธุ์ข้าว
4,ส่งเสริมการผลิตสินค้าเกษตรแบบฟาร์มอัจฉริยะ
5,การแก้ภัยแล้งของเกษตรกรโดยใช้เทคโนโลยีพลังงานทดแทนระบบสูบน้ำพลังงานแสงอาทิตย์
6,พัฒนาบรรจุภัณฑ์ผลิตภัณฑ์และผลิตภัณฑ์ทางการเกษตร
7,การยกระดับมาตรฐานการผลิตอาหารปลอดภัยด้วยนวัตกรรม
8,พัฒนาขีดความสามารถในการแข่งขันของอุตสาหกรรมแปรรูปการเกษตรและอาหาร
9,รณรงค์ส่งเสริมการบริโภคอาหารปลอดภัย
10,ส่งเสริมความปลอดภัยในอาหาร
11,พัฒนาการบริหารจัดการสินค้าเกษตรปลอดภัยผ่านกระบวนการกลุ่ม
12,สร้างมูลค่าเพิ่มตลาดสินค้าเกษตรเพื่อสุขภาพและความงาม&
13,การสร้างความเชื่อมั่นผู้บริโภคสู่ตลาดการค้าดิจิตอล
14,พัฒนาคุณภาพสินค้าเกษตรสู่มาตรฐาน
15,แก้ไขปัญหาการใช้สารเร่งเนื้อแดงในสุกร
16,ตรวจสอบโรงงานวัตถุอันตรายด้านปศุสัตว์
17,พัฒนาเกษตรกรปราดเปรื่องด้านปศุสัตว์
18,ส่งเสริมสินค้าด้านการเกษตรและอุตสาหกรรมอาหาร
19,การเพิ่มประสิทธิภาพการเกษตร
20,พัฒนาสินค้าเกษตรสู่มาตรฐาน
21,ผลิตสินค้าเกษตรเพื่ออาหารกลางวัน
22,ศูนย์จัดการศัตรูพืชชุมชน
23,การส่งเสริมอาชีพเกษตรกรด้านการประมง
24,การประมงอาสา
25,เตรียมความพร้อมเข้าสู่มาตรการฟาร์มเพาะเลี้ยงสัตว์น้ำ
26,พัฒนาเกษตรกรปราดเปรื่อง
27,คลินิคเกษตรเคลื่อนที่
28,โครงการพัฒนายกระดับตลาดสดน่าซื้อ
29,ติดตามพัฒนาสถานที่ผลิตอาหารตามเกณฑ์
30,อย.น้อย
31,ส่งเสริมการบริโภคและใช้วัตถุดิบสินค้า
32,สนับสนุนแผนปฏิบัติการเผ้าระวังและควบคุมมาตรฐานสินค้าเกษตรระดับจังหวัด
33,ร้านอาหารวัตถุดิบปลอดภัยเลือกใช้สินค้า
34,สุขาภิบาลอาหาร
