project_name,project_id,year,project_type_name,dept_name,dept_sub_name,purchase_method_name,purchase_method_group_name,announce_date,project_money,price_build,sum_price_agree,budget_year,transaction_date,province,district,subdistrict,project_status,project_location,winner_tin,winner_name,contract_no,contract_date,contract_finish_date,contract_price_agree,contract_status
ประกวดราคาจ้างก่อสร้างถนนคอนกรีตสายแยกทางหลวงหมายเลข 347 - บ้านบางระกำ อำเภอนครหลวง  จังหวัดพระนครศรีอยุธยา ระยะทาง 2.510 กม. ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),60086041039.0,2561,จ้างก่อสร้าง,กรมทางหลวงชนบท,สำนักงานทางหลวงชนบทที่ 1 (ปทุมธานี),ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,9 ส.ค. 60,47530000,47530000.0,94800000.0,2561,31 ต.ค. 60,ปทุมธานี,ลำลูกกา,บึงคำพร้อย,ระหว่างดำเนินการ,POINT(100.589852525072 14.4649145400556),343547001240.0,สองฝั่งการเกษตร,คค 0709/25/2561,31 ต.ค. 60,17 มิ.ย. 61,"47,400,000",ระหว่างดำเนินการ
ประกวดราคาซื้ออาหารดิบเป็นรายสิ่งพร้อมเครื่องปรุง ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),60086163068.0,2561,ซื้อ,กรมราชทัณฑ์,ทัณฑสถานวัยหนุ่มกลาง กรมราชทัณฑ์ ปทุมธานี,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,22 ส.ค. 60,84732560,84621297.0,93388207.2,2561,1 ต.ค. 60,ปทุมธานี,คลองหลวง,คลองหก,ระหว่างดำเนินการ,,105535115257.0,บริษัท อุบลโภคทรัพย์ จำกัด,3/2561,1 ต.ค. 60,30 ก.ย. 61,"46,694,104",ระหว่างดำเนินการ
ประกวดราคาจ้างแก้ไขคันทางทรุดตัวสาย อย.4009 แยกทางหลวงหมายเลข 3111 - บ้านปากคูตาฉัตร (ตอนที่ 1) อำเภอบางไทร ลาดบัวหลวง จังหวัดพระนครศรีอยุธยา ระยะทาง 1.105 กม. ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),60086110305.0,2561,จ้างก่อสร้าง,กรมทางหลวงชนบท,สำนักงานทางหลวงชนบทที่ 1 (ปทุมธานี),ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,16 ส.ค. 60,34790000,34790000.0,69480000.0,2561,20 ต.ค. 60,ปทุมธานี,ลำลูกกา,บึงคำพร้อย,ระหว่างดำเนินการ,POINT(100.38889029869301 14.1925746710204),193525000030.0,ห้างหุ้นส่วนจำกัด สระบุรีวณิชชากร,คค 0706/06/2561,20 ต.ค. 60,17 มิ.ย. 61,"34,740,000",ระหว่างดำเนินการ
ประกวดราคาจ้างซ่อมสร้างผิวทางลาดยางพาราแอสฟัลติกคอนกรีตสาย อย.3011 แยกทางหลวงหมายเลข 347 - บ้านโคก อำเภอบางไทร จังหวัดพระนครศรีอยุธยา ระยะทาง 1.390 กม. (ก่อสร้างช่วง กม.ที่ 3+400 - กม.ที่ 4+790) ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),60076257573.0,2561,จ้างก่อสร้าง,กรมทางหลวงชนบท,สำนักงานทางหลวงชนบทที่ 1 (ปทุมธานี),ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,4 ส.ค. 60,34300000,34300000.0,68000000.0,2561,20 ต.ค. 60,ปทุมธานี,ลำลูกกา,บึงคำพร้อย,ระหว่างดำเนินการ,POINT(100.484564686322 14.1897816294271),105538003841.0,บริษัท ดอนเมือง การช่าง จำกัด,คค 0709/09/2561,20 ต.ค. 60,17 มิ.ย. 61,"34,000,000",ระหว่างดำเนินการ
ประกวดราคาจ้างแก้ไขคันทางทรุดตัวสาย ปท.3026 แยกทางหลวงหมายเลข 305 - เลียบคลองสิบสาม (ฝั่งตะวันตก) อำเภอหนองเสือ จังหวัดปทุมธานี ระยะทาง 0.635 กม. ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),60086178944.0,2561,จ้างก่อสร้าง,กรมทางหลวงชนบท,สำนักงานทางหลวงชนบทที่ 1 (ปทุมธานี),ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,21 ส.ค. 60,34790000,34790000.0,61800000.0,2561,20 ต.ค. 60,ปทุมธานี,ลำลูกกา,บึงคำพร้อย,ระหว่างดำเนินการ,POINT(100.879391391843 14.123675809369),105529036642.0,บริษัท พลพรรธน จำกัด,คค 0709/02/2561,20 ต.ค. 60,17 มิ.ย. 61,"30,900,000",ระหว่างดำเนินการ
ประกวดราคาจ้างก่อสร้างถนนคอนกรีตสายแยกทางหลวงชนบท นบ.5027 - บ้านหนองเพรางาย อำเภอไทรน้อย จังหวัดนนทบุรี ระยะทาง 2.770 กม.(ก่อสร้าง ช่วงที่ 1 กม.ที่ 0+000 - กม.ที่ 1+683 และช่วงที่ 2 กม.ที่ 5+425 - กม.ที่ 6+550) ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),60076257139.0,2561,จ้างก่อสร้าง,กรมทางหลวงชนบท,สำนักงานทางหลวงชนบทที่ 1 (ปทุมธานี),ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,4 ส.ค. 60,33516000,33516000.0,60680000.0,2561,31 ต.ค. 60,ปทุมธานี,ลำลูกกา,บึงคำพร้อย,ระหว่างดำเนินการ,POINT(100.30309469453101 13.9008407451334),415522000097.0,บริษัท วนิชชัยก่อสร้าง(1979) จำกัด,คค 0709/20/2561,31 ต.ค. 60,28 มิ.ย. 61,"30,340,000",ระหว่างดำเนินการ
ประกวดราคาซื้อซื้อครุภัณฑ์วิทยาศาสตร์ จำนวน 2 รายการ ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),60097015769.0,2561,ซื้อ,กรมปศุสัตว์,สำนักตรวจสอบคุณภาพสินค้าปศุสัตว์ กรมปศุสัตว์ ปทุมธานี,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,11 ก.ย. 60,28704900,28704900.0,56790000.0,2561,20 ต.ค. 60,ปทุมธานี,เมืองปทุมธานี,บางกะดี,ระหว่างดำเนินการ,,105545053424.0,บริษัท แสงวิทย์ ซายน์ จำกัด,สญ.1/2561,20 ต.ค. 60,17 ก.พ. 61,"22,500,000",ระหว่างดำเนินการ
ประกวดราคาซื้อซื้อครุภัณฑ์วิทยาศาสตร์ จำนวน 2 รายการ ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),60097015769.0,2561,ซื้อ,กรมปศุสัตว์,สำนักตรวจสอบคุณภาพสินค้าปศุสัตว์ กรมปศุสัตว์ ปทุมธานี,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,11 ก.ย. 60,28704900,28704900.0,56790000.0,2561,20 ต.ค. 60,ปทุมธานี,เมืองปทุมธานี,บางกะดี,ระหว่างดำเนินการ,,105546074786.0,บริษัท พาราไซแอนติฟิค จำกัด,สญ.2/2561,20 ต.ค. 60,18 เม.ย. 61,"5,895,000",ระหว่างดำเนินการ
ประกวดราคาซื้อครุภัณฑ์วิทยาศาสตร์และการแพทย์ จำนวน 4 รายการ ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),60086197885.0,2561,ซื้อ,กรมปศุสัตว์,สำนักเทคโนโลยีชีวภาพการผลิตปศุสัตว์ กรมปศุสัตว์ ปทุมธานี,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,22 ส.ค. 60,27997940,27997940.0,55583800.0,2561,24 ต.ค. 60,ปทุมธานี,เมืองปทุมธานี,บางกะดี,ระหว่างดำเนินการ,,105547090530.0,บริษัท ยีนพลัส  จำกัด,สทป.5/2561,24 ต.ค. 60,22 ม.ค. 61,"8,285,000",ระหว่างดำเนินการ
ประกวดราคาซื้อครุภัณฑ์วิทยาศาสตร์และการแพทย์ จำนวน 4 รายการ ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),60086197885.0,2561,ซื้อ,กรมปศุสัตว์,สำนักเทคโนโลยีชีวภาพการผลิตปศุสัตว์ กรมปศุสัตว์ ปทุมธานี,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,22 ส.ค. 60,27997940,27997940.0,55583800.0,2561,24 ต.ค. 60,ปทุมธานี,เมืองปทุมธานี,บางกะดี,ระหว่างดำเนินการ,,105538100625.0,บริษัท ไบโอแอคทีฟ จำกัด,สทป.6/2561,27 ต.ค. 60,25 ม.ค. 61,"19,067,400",ระหว่างดำเนินการ
