project_name,project_id,year,project_type_name,dept_name,dept_sub_name,purchase_method_name,purchase_method_group_name,announce_date,project_money,price_build,sum_price_agree,budget_year,transaction_date,province,district,subdistrict,project_status,project_location,winner_tin,winner_name,contract_no,contract_date,contract_finish_date,contract_price_agree,contract_status
"สอบราคาจ้างโครงการก่อสร้างถนนแอสฟัลท์คอนกรีต (PARA  AC) เลียบคลองส่งน้ำที่ 5 ซ้าย หมู่ที่ 16 ตำบลคลองห้า  อำเภอคลองหลวง จังหวัดปทุมธานี ขนาดผิวจราจรกว้าง 6.00 เมตร ยาว  2,150 เมตร  หนา  0.05  เมตร  หรือพื้นที่ไม่น้อยกว่า  12,900 ตารางเมตร ตามแบบองค์การบริหารส่วนจังหวัดปทุมธานี",61067011694.0,2561,จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดปทุมธานี,องค์การบริหารส่วนจังหวัดปทุมธานี,สอบราคา,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,1 มิ.ย. 61,9653000,9612000.0,9610000.0,2561,29 มิ.ย. 61,ปทุมธานี,เมืองปทุมธานี,บ้านฉาง,ระหว่างดำเนินการ,POINT(100.71029663085938 14.131768986323063),145544000653.0,บริษัท ศรีภูมิการโยธา จำกัด,99/2561,29 มิ.ย. 61,27 ต.ค. 61,"9,610,000",ระหว่างดำเนินการ
"สอบราคาจ้างโครงการก่อสร้างถนนแอสฟัลท์คอนกรีต (PARA AC) เลียบคลองส่งน้ำที่ 5 ซ้าย หมู่ที่ 14 ตำบลคลองหก อำเภอคลองหลวง จังหวัดปทุมธานี ขนาดผิวจราจรกว้าง 6.00 เมตร ยาว 2,150 เมตร หนา 0.05 เมตร หรือพื้นที่ไม่น้อยกว่า 12,900 ตารางเมตร ตามแบบองค์การบริหารส่วนจังหวัดปทุมธานี",61067022444.0,2561,จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดปทุมธานี,องค์การบริหารส่วนจังหวัดปทุมธานี,สอบราคา,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,4 มิ.ย. 61,9653000,9617000.0,9600000.0,2561,29 มิ.ย. 61,ปทุมธานี,เมืองปทุมธานี,บ้านฉาง,ระหว่างดำเนินการ,POINT(100.73166847229004 14.139405502082578),135552002252.0,บริษัท พรประเสริฐ การโยธา จำกัด,122/2561,29 มิ.ย. 61,27 ต.ค. 61,"9,600,000",ระหว่างดำเนินการ
"สอบราคาจ้างโครงการก่อสร้างถนนแอสฟัลท์คอนกรีต (PARA AC) เลียบคลองส่งน้ำที่ 4 ซ้าย หมู่ที่ 11 ตำบลคลองหก อำเภอคลองหลวง จังหวัดปทุมธานี ขนาดผิวจราจรกว้าง 6.00 เมตร ยาว 2,150 เมตร หนา 0.05 เมตร หรือพื้นที่ไม่น้อยกว่า 12,900 ตารางเมตร ตามแบบองค์การบริหารส่วนจังหวัดปทุมธานี",61067021496.0,2561,จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดปทุมธานี,องค์การบริหารส่วนจังหวัดปทุมธานี,สอบราคา,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,4 มิ.ย. 61,9653000,9617000.0,9595000.0,2561,29 มิ.ย. 61,ปทุมธานี,เมืองปทุมธานี,บ้านฉาง,ระหว่างดำเนินการ,POINT(100.72819232940674 14.14548123883264),193548000435.0,ห้างหุ้นส่วนจำกัด สมชัย สนธยา คอนสตรัคชั่น 2005,89/2561,29 มิ.ย. 61,27 ต.ค. 61,"9,595,000",ระหว่างดำเนินการ
"สอบราคาจ้างโครงการก่อสร้างถนนแอสฟัลท์คอนกรีต (PARA  AC) เลียบคลองระบายน้ำที่สี่ฝั่งตะวันตก หมู่ที่ 12   ตำบลคลองสี่ อำเภอคลองหลวง จังหวัดปทุมธานี ขนาดผิวจราจรกว้าง 6.00 เมตร ยาว 2,050 เมตร หนา 0.05 เมตร หรือพื้นที่ไม่น้อยกว่า  12,300 ตารางเมตร ตามแบบองค์การบริหารส่วนจังหวัดปทุมธานี",61057513752.0,2561,จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดปทุมธานี,องค์การบริหารส่วนจังหวัดปทุมธานี,สอบราคา,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,4 มิ.ย. 61,9066000,9072000.0,9060000.0,2561,29 มิ.ย. 61,ปทุมธานี,เมืองปทุมธานี,บ้านฉาง,ระหว่างดำเนินการ,LINESTRING(100.68720817565917 14.097869752710704),105542031632.0,บริษัท อัศววงศ์ จำกัด,124/2561,29 มิ.ย. 61,27 ต.ค. 61,"9,060,000",ระหว่างดำเนินการ
"สอบราคาจ้างโครงการก่อสร้างถนนแอสฟัลท์คอนกรีต (PARA AC) เลียบคลองระบายน้ำที่สี่ ฝั่งตะวันตก หมู่ที่ 15 ตำบลคลองสี่ อำเภอคลองหลวง จังหวัดปทุมธานี ขนาดผิวจราจรกว้าง 6.00 เมตร ยาว 2,050 เมตร หนา 0.05 เมตร หรือพื้นที่ไม่น้อยกว่า 12,300 ตารางเมตร ตามแบบองค์การบริหารส่วนจังหวัดปทุมธานี",61057487513.0,2561,จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดปทุมธานี,องค์การบริหารส่วนจังหวัดปทุมธานี,สอบราคา,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,31 พ.ค. 61,9066000,9072000.0,8100000.0,2561,29 มิ.ย. 61,ปทุมธานี,เมืองปทุมธานี,บ้านฉาง,ระหว่างดำเนินการ,"LINESTRING(100.53371473956216 14.060788911007458,100.47870680499184 13.999597667079142)",105532029449.0,บริษัท ซีโก้ทรานสปอร์ต จำกัด,130/2561,29 มิ.ย. 61,27 ต.ค. 61,"8,100,000",ระหว่างดำเนินการ
"สอบราคาจ้างโครงการก่อสร้างถนนแอสฟัลท์คอนกรีต (PARA  AC) ซอยคลองสี่ตะวันออก 74 หมู่ที่  15  ตำบลคลองสี่ อำเภอคลองหลวง จังหวัดปทุมธานี ขนาดผิวจราจรกว้าง 6.00 เมตร ยาว 1,430 เมตร หนา 0.05 เมตร หรือพื้นที่ไม่น้อยกว่า  8,580 ตารางเมตร ตามแบบองค์การบริหารส่วนจังหวัดปทุมธานี",61067002569.0,2561,จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดปทุมธานี,องค์การบริหารส่วนจังหวัดปทุมธานี,สอบราคา,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,1 มิ.ย. 61,6409000,6424000.0,6400000.0,2561,29 มิ.ย. 61,ปทุมธานี,เมืองปทุมธานี,บ้านฉาง,ระหว่างดำเนินการ,POINT(100.68763732910156 14.097536770227043),145544000653.0,บริษัท ศรีภูมิการโยธา จำกัด,83/2561,29 มิ.ย. 61,27 ก.ย. 61,"6,400,000",ระหว่างดำเนินการ
"สอบราคาจ้างโครงการก่อสร้างถนนแอสฟัลท์คอนกรีต (PARA AC) ซอยคลองสี่ตะวันออก 70 หมู่ที่ 14 ตำบลคลองสี่ อำเภอคลองหลวง จังหวัดปทุมธานี ขนาดผิวจราจรกว้าง 6.00 เมตร ยาว 1,280 เมตร หนา 0.05 เมตร หรือพื้นที่ไม่น้อยกว่า 7,680 ตารางเมตร ตามแบบองค์การบริหารส่วนจังหวัดปทุมธานี",61067016510.0,2561,จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดปทุมธานี,องค์การบริหารส่วนจังหวัดปทุมธานี,สอบราคา,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,4 มิ.ย. 61,5739000,5827000.0,5739000.0,2561,29 มิ.ย. 61,ปทุมธานี,เมืองปทุมธานี,บ้านฉาง,ระหว่างดำเนินการ,"LINESTRING(100.71473327060517 14.128537891088225,100.65972533603485 14.067642970668775)",105532029449.0,บริษัท ซีโก้ทรานสปอร์ต จำกัด,141/2561,29 มิ.ย. 61,27 ก.ย. 61,"5,739,000",ระหว่างดำเนินการ
"สอบราคาจ้างโครงการก่อสร้างถนนแอสฟัลท์คอนกรีต (PARA  AC) ซอยคลองสี่ตะวันออก  57 หมู่ที่  10 ตำบลคลองสี่ อำเภอคลองหลวง จังหวัดปทุมธานี ขนาดผิวจราจรกว้าง 6.00 เมตร ยาว 1,260  เมตร หนา  0.05  เมตร หรือพื้นที่ไม่น้อยกว่า  7,560  ตารางเมตร ตามแบบองค์การบริหารส่วนจังหวัดปทุมธานี",61057486750.0,2561,จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดปทุมธานี,องค์การบริหารส่วนจังหวัดปทุมธานี,สอบราคา,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,1 มิ.ย. 61,5649000,5624000.0,5610000.0,2561,29 มิ.ย. 61,ปทุมธานี,เมืองปทุมธานี,บ้านฉาง,ระหว่างดำเนินการ,POINT(100.68695068359375 14.104612543423306),133524000150.0,ห้างหุ้นส่วนจำกัด สหผลวัฒนาโยธาการ,96/2561,29 มิ.ย. 61,27 ก.ย. 61,"5,610,000",ระหว่างดำเนินการ
"สอบราคาจ้างโครงการก่อสร้างถนนแอสฟัลท์คอนกรีต (PARA  AC) ซอยคลองสี่ตะวันออก 60 หมู่ที่ 11 ตำบลคลองสี่ อำเภอคลองหลวง จังหวัดปทุมธานี ขนาดผิวจราจรกว้าง 6.00  เมตร ยาว 1,200  เมตร หนา 0.05 เมตร หรือพื้นที่ไม่น้อยกว่า 7,200 ตารางเมตร ตามแบบองค์การบริหารส่วนจังหวัดปทุมธานี",61057515425.0,2561,จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดปทุมธานี,องค์การบริหารส่วนจังหวัดปทุมธานี,สอบราคา,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,4 มิ.ย. 61,5393000,5357000.0,5350000.0,2561,29 มิ.ย. 61,ปทุมธานี,เมืองปทุมธานี,บ้านฉาง,ระหว่างดำเนินการ,POINT(100.68806648254395 14.097952998255668),105542031632.0,บริษัท อัศววงศ์ จำกัด,135/2561,29 มิ.ย. 61,27 ก.ย. 61,"5,350,000",ระหว่างดำเนินการ
"สอบราคาจ้างโครงการก่อสร้างถนนแอสฟัลท์คอนกรีต (PARA AC) ซอยบึงบอน 17 หมู่ที่ 3 ตำบลบึงบอน อำเภอหนองเสือ จังหวัดปทุมธานี ขนาดผิวจราจรกว้าง 6.00 เมตร ยาว 1,200 เมตร หนา 0.05 เมตร หรือพื้นที่ไม่น้อยกว่า 7,200 ตารางเมตร ตามแบบองค์การบริหารส่วนจังหวัดปทุมธานี",61067024819.0,2561,จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดปทุมธานี,องค์การบริหารส่วนจังหวัดปทุมธานี,สอบราคา,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,4 มิ.ย. 61,5283000,5255000.0,5240000.0,2561,29 มิ.ย. 61,ปทุมธานี,เมืองปทุมธานี,บ้านฉาง,ระหว่างดำเนินการ,"LINESTRING(100.80545224321307 14.12133000770504,100.74975766313494 14.05999060203396)",193548000435.0,ห้างหุ้นส่วนจำกัด สมชัย สนธยา คอนสตรัคชั่น 2005,95/2561,29 มิ.ย. 61,27 ก.ย. 61,"5,240,000",ระหว่างดำเนินการ
