project_name,project_id,year,project_type_name,dept_name,dept_sub_name,purchase_method_name,purchase_method_group_name,announce_date,project_money,price_build,sum_price_agree,budget_year,transaction_date,province,district,subdistrict,project_status,project_location,winner_tin,winner_name,contract_no,contract_date,contract_finish_date,contract_price_agree,contract_status
เช่าค่าเช่าอาคารสำนักงาน โดยวิธีเฉพาะเจาะจง,60097290698.0,2561,เช่า,กรมบังคับคดี,สำนักงานบังคับคดีจังหวัดปทุมธานี สาขาธัญบุรี,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,2400000,2400000.0,2400000.0,2561,1 ต.ค. 60,ปทุมธานี,เมืองปทุมธานี,บางปรอก,ระหว่างดำเนินการ,,367070005xxxx,นายวสันต์ ตั้งพาณิชย์กิจ,ธบ.1/61,1 ต.ค. 60,30 ก.ย. 61,"2,400,000",ระหว่างดำเนินการ
เช่าเช่าอาคารที่ทำการและสถานเก็บรักษาทรัพย์ โดยวิธีเฉพาะเจาะจง,60097289758.0,2561,เช่า,กรมบังคับคดี,สำนักงานบังคับคดีจังหวัดปทุมธานี,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,840000,840000.0,840000.0,2561,1 ต.ค. 60,ปทุมธานี,เมืองปทุมธานี,บางปรอก,สิ้นสุดสัญญา,,313990008xxxx,นายสุรวิทย์ วรวิทยาวงศ์,001/2561,1 ต.ค. 60,30 ก.ย. 61,"840,000",สิ้นสุดสัญญา
เช่าโครงการเช่าอาคารสำนักงาน ชั้น 2 เพื่อใช้เป็นสถานที่ทำงานของสำนักงานสรรพากรพื้นที่สาขาลาดหลุมแก้ว โดยวิธีเฉพาะเจาะจง,60117368088.0,2561,เช่า,กรมสรรพากร,สำนักงานสรรพากรพื้นที่ปทุมธานี 1,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,780000,780000.0,780000.0,2561,8 พ.ย. 60,ปทุมธานี,เมืองปทุมธานี,บ้านกลาง,ระหว่างดำเนินการ,,135555018982.0,บริษัท ฟอร์เวิร์ด แลนด์ ดีเวลลอปเม้นท์ จำกัด,2/2561,8 พ.ย. 60,30 ก.ย. 61,"780,000",ระหว่างดำเนินการ
เช่าขออนุมัติดำเนินการจัดจ้างเช่าอาคารที่เป็นที่ทำการของสำนักงานสรรพากรพื้นที่สาขาธัญบุรี ประจำปีงบประมาณ 2561 โดยวิธีเฉพาะเจาะจง,60127262537.0,2561,เช่า,กรมสรรพากร,สำนักงานสรรพากรพื้นที่ปทุมธานี 2,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,780000,780000.0,780000.0,2561,18 ธ.ค. 60,ปทุมธานี,คลองหลวง,คลองหนึ่ง,สิ้นสุดสัญญา,,105549064510.0,เพียวสัมมากร ดีเวลลอปเม้นท์,05/2561,18 ธ.ค. 60,28 ก.ย. 61,"780,000",สิ้นสุดสัญญา
เช่าค่าเช่าอาคารสำนักงานฯ โดยวิธีเฉพาะเจาะจง,60127474911.0,2561,เช่า,กรมคุมประพฤติ,สำนักงานคุมประพฤติจังหวัดปทุมธานี,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,720000,720000.0,720000.0,2561,1 พ.ย. 60,ปทุมธานี,เมืองปทุมธานี,บางปรอก,สิ้นสุดสัญญา,,313030040xxxx,นายพิศิษฐ์  เฮงรักษา,1/2561,1 พ.ย. 60,30 ก.ย. 61,"720,000",สิ้นสุดสัญญา
เช่าโครงการเช่าอาคารพาณิชย์ 2 ชั้น 3 คูหา เพื่อใช้เป็นสถานที่ทำงานของสำนักงานสรรพากรพื้นที่สาขาเมืองปทุมธานี โดยวิธีเฉพาะเจาะจง,60117272038.0,2561,เช่า,กรมสรรพากร,สำนักงานสรรพากรพื้นที่ปทุมธานี 1,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,660000,660000.0,660000.0,2561,8 พ.ย. 60,ปทุมธานี,เมืองปทุมธานี,บ้านกลาง,ระหว่างดำเนินการ,,105529020649.0,บริษัท ไทยออน เคมีภัณฑ์ จำกัด,1/2561,8 พ.ย. 60,30 ก.ย. 61,"660,000",ระหว่างดำเนินการ
เช่าเครื่องถ่ายเอกสาร ความเร็วไม่น้อยกว่า 30 แผ่นต่อนาที (แบบมีระบบสำหรับการทำงานมัลติฟังก์ชั่น) ประจำปีงบประมาณ 2561 จำนวน 3 เครื่อง โดยวิธีตกลงราคา โดยวิธีตกลงราคา,60086254038.0,2561,เช่า,กรมปศุสัตว์,กองสารวัตรและกักกัน,ตกลงราคา,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,250000,250000.0,500000.0,2561,31 ต.ค. 60,ปทุมธานี,เมืองปทุมธานี,บางกะดี,สิ้นสุดสัญญา,,105513004762.0,บริษัท ริโก้ (ประเทศไทย)  จำกัด,กสก.1/2561,31 ต.ค. 60,31 ต.ค. 61,"250,000",ระหว่างดำเนินการ
เช่าเครื่องถ่ายเอกสาร จำนวน 5 เครื่อง เพื่อติดตั้งใช้งาน ณ อาคาร ปค. อ.ลำลูกกา จ.ปทุมธานี โดยวิธีตกลงราคา,60086175295.0,2561,เช่า,กรมการปกครอง,สำนักบริหารการทะเบียน กรมการปกครอง,ตกลงราคา,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,500000,500000.0,500000.0,2561,13 พ.ย. 60,ปทุมธานี,ลำลูกกา,บึงทองหลาง,ระหว่างดำเนินการ,,105543090365.0,บริษัท สมาร์ท ควอลิตี้ เซอร์วิส จำกัด,12/2561,13 พ.ย. 60,13 พ.ย. 61,"500,000",ระหว่างดำเนินการ
เช่าเครื่องถ่ายเอกสาร จำนวน 12 เครื่อง ภายในวิทยาลัยการปกครอง อำเภอธัญบุรี จังหวัดปทุมธานี โดยวิธีพิเศษ,60086166727.0,2561,เช่า,กรมการปกครอง,วิทยาลัยการปกครอง กรมการปกครอง กรุงเทพฯ,พิเศษ,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,500000,500000.0,500000.0,2561,3 ม.ค. 61,ปทุมธานี,ธัญบุรี,รังสิต,ระหว่างดำเนินการ,,135552000250.0,บริษัท เอ็นเอสที ออฟฟิศ ออโตเมชั่น จำกัด,1/2561,3 ม.ค. 61,30 ก.ย. 61,"500,000",ระหว่างดำเนินการ
เช่าสถานที่สนามกีฬามหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต เพื่อจัดการแข่งขันกีฬานักเรียน นักศึกษา จังหวัดปทุมธานี ประจำปี 2560 โดยวิธีเฉพาะเจาะจง,60117369419.0,2561,เช่า,องค์การบริหารส่วนจังหวัดปทุมธานี,องค์การบริหารส่วนจังหวัดปทุมธานี,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,500000,500000.0,500000.0,2561,30 พ.ย. 60,ปทุมธานี,เมืองปทุมธานี,บ้านฉาง,ระหว่างดำเนินการ,,3101702406745.0,มหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต,26/2561,30 พ.ย. 60,8 ธ.ค. 60,"500,000",ระหว่างดำเนินการ
