project_name,project_id,year,project_type_name,dept_name,dept_sub_name,purchase_method_name,purchase_method_group_name,announce_date,project_money,price_build,sum_price_agree,budget_year,transaction_date,province,district,subdistrict,project_status,project_location,winner_tin,winner_name,contract_no,contract_date,contract_finish_date,contract_price_agree,contract_status
เหมาบริการซ่อมแซมพื้นอาคารโรงอาหาร ขนาดพื้นที่ 225 ตารางเมตร,61097070618.0,2561,จ้างทำของ/จ้างเหมาบริการ,กรมพัฒนาฝีมือแรงงาน,ศูนย์พัฒนาฝีมือแรงงานจังหวัด ปทุมธานี,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,384662,384662.0,384662.0,2561,17 ส.ค. 61,ปทุมธานี,ธัญบุรี,รังสิต,ระหว่างดำเนินการ,,133560004518.0,ห้างหุ้นส่วนจำกัด เทียนพงค์พัน 2004,06/2561,17 ส.ค. 61,20 ก.ย. 61,"384,662",ระหว่างดำเนินการ
เหมาจัดทำอาหารกลางวันและน้ำดื่ม (แก้ว) จำนวน 6 รายการ เพื่อใช้ในโครงการจัดงานวันเด็กแห่งชาติ องค์การบริหารส่วนจังหวัดปทุมธานี ประจำปี 2561,61017084429.0,2561,จ้างทำของ/จ้างเหมาบริการ,องค์การบริหารส่วนจังหวัดปทุมธานี,องค์การบริหารส่วนจังหวัดปทุมธานี,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,352000,352000.0,352000.0,2561,10 ม.ค. 61,ปทุมธานี,เมืองปทุมธานี,บ้านฉาง,ระหว่างดำเนินการ,,110140159xxxx,นายอชิตพล  ภู่มาศ,53/2561,10 ม.ค. 61,17 ม.ค. 61,"352,000",ระหว่างดำเนินการ
เหมาซ่อมแซมแพชมปลาหน้าวัดมูลจินดาราม,61087608478.0,2561,จ้างทำของ/จ้างเหมาบริการ,เทศบาลเมืองบึงยี่โถ,เทศบาลเมืองบึงยี่โถ,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,250000,250000.0,250000.0,2561,28 ส.ค. 61,ปทุมธานี,ธัญบุรี,บึงยี่โถ,สิ้นสุดสัญญา,,318040033xxxx,นายอดิศักดิ์ วงษ์แดง,361/2561,28 ส.ค. 61,27 ก.ย. 61,"250,000",สิ้นสุดสัญญา
"เหมาบริการดูแลบำรุงระบบแจ้งเหตุเพลิงไหม้ อาคารสำนักงานกลาง, อาคาร Incubator Wing, อาคาร Utility และอาคาร สวทช.(โยธี)",61047093832.0,2561,จ้างทำของ/จ้างเหมาบริการ,สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ,สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,156947,156947.0,156947.6,2561,25 เม.ย. 61,ปทุมธานี,คลองหลวง,คลองหนึ่ง,ระหว่างดำเนินการ,,135551006611.0,บริษัทเอเซียติก ไฟร์ เทค จำกัด,1043180136,25 เม.ย. 61,30 เม.ย. 62,"156,948",ระหว่างดำเนินการ
เหมาซ่อมแซมเปลี่ยนอะไหล่สำหรับชุดกำจัดไอกรดสารเคมี จำนวน 1 งาน,61097361872.0,2561,จ้างทำของ/จ้างเหมาบริการ,สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ,ศูนย์นาโนเทคโนโลยีแห่งชาติ,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,118000,118000.0,118000.0,2561,14 ก.ย. 61,ปทุมธานี,คลองหลวง,คลองหนึ่ง,ระหว่างดำเนินการ,,105561047727.0,บริษัท เจทูดับบลิว คอนซัลติ้งแอนด์เซอร์วิส จำกัด,6041183250,14 ก.ย. 61,14 ต.ค. 61,"118,000",ระหว่างดำเนินการ
เหมาติดตั้งเครื่องขยายเสียงพร้อมเจ้าหน้าที่ควบคุมและประดับตกแต่งไฟบนเวทีกลาง เพื่อใช้ในการจัดงานกาชาดและของดีเมืองปทุมธานี ประจำปี 2561,61037431573.0,2561,จ้างทำของ/จ้างเหมาบริการ,องค์การบริหารส่วนจังหวัดปทุมธานี,กองช่างองค์การบริหารส่วนจังหวัดปทุมธานี,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,99000,,99000.0,2561,29 มี.ค. 61,ปทุมธานี,เมืองปทุมธานี,บ้านฉาง,ระหว่างดำเนินการ,,313070036xxxx,ช.เจริญซาวด์,40/2561,29 มี.ค. 61,8 เม.ย. 61,"99,000",ระหว่างดำเนินการ
เหมาบริการ จำนวน 1 งาน,61087046218.0,2561,จ้างทำของ/จ้างเหมาบริการ,กรมการข้าว,ศูนย์วิจัยข้าวคลองหลวง ปทุมธานี กรมการข้าว,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,90720,90720.0,90720.0,2561,2 ส.ค. 61,ปทุมธานี,คลองหลวง,คลองหนึ่ง,สิ้นสุดสัญญา,,310140060xxxx,นายพนาสัณฑ์  สุมาลี,จ 310/2561,2 ส.ค. 61,9 ส.ค. 61,"90,720",สิ้นสุดสัญญา
เหมาบริการ จำนวน 1 งาน,61087045308.0,2561,จ้างทำของ/จ้างเหมาบริการ,กรมการข้าว,ศูนย์วิจัยข้าวคลองหลวง ปทุมธานี กรมการข้าว,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,87570,87570.0,87570.0,2561,2 ส.ค. 61,ปทุมธานี,คลองหลวง,คลองหนึ่ง,สิ้นสุดสัญญา,,165990044xxxx,นางสาว จุฑามาส เรืองยศจันทนา,จ 307/2561,2 ส.ค. 61,9 ส.ค. 61,"87,570",สิ้นสุดสัญญา
เหมาบริการซ่อมแซมระบบประปาบาดาล ซอย สปก.2 หมู่ที่ 2 และหมู่ที่ 4 พร้อมค่าบริการ โดยวิธีเฉพาะเจาะจง โดยวิธีเฉพาะเจาะจง,61017317791.0,2561,จ้างทำของ/จ้างเหมาบริการ,องค์การบริหารส่วนตำบลศาลาครุ,องค์การบริหารส่วนตำบลศาลาครุ,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,67089,67089.0,67089.0,2561,19 ม.ค. 61,ปทุมธานี,เมืองปทุมธานี,บางปรอก,ระหว่างดำเนินการ,,133536000133.0,ห้างหุ้นส่วนจำกัด ชาญธนาบาดาล,34/2561,19 ม.ค. 61,26 ม.ค. 61,"67,089",ระหว่างดำเนินการ
"เหมาทำวารสาร บางเดื่อนิวส์ ปีที่ 1 ฉบับที่ 4 ประจำเดือน ตุลาคม - ธันวาคม 2560 จำนวน 4,000 ฉบับ",61017213139.0,2561,จ้างทำของ/จ้างเหมาบริการ,เทศบาลตำบลบางเดื่อ,เทศบาลตำบลบางเดื่อ,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,53500,53500.0,53500.0,2561,11 ม.ค. 61,ปทุมธานี,เมืองปทุมธานี,บางเดื่อ,ระหว่างดำเนินการ,,135554003469.0,บริษัท ดำรงค์ศักดิ์ พริ้นติ้ง จำกัด,192/2561,11 ม.ค. 61,18 ม.ค. 61,"53,500",ระหว่างดำเนินการ
